graph, size, connectivity, algorithm, repetition, failures, stretch, load, hops, success, cc_size,routing_time, precomputation_time
0, 65, 1, One Tree, 0, 10, 0, 0, 6, 1.000000, 60, 0.000489, 5.863829
0, 65, 1, One Tree Checkpoint, 0, 10, 0, 1, 5, 1.000000, 60, 0.003008, 12.426072
0, 65, 1, One Tree, 1, 10, 0, 0, 7, 1.000000, 60, 0.000308, 3.776406
0, 65, 1, One Tree Checkpoint, 1, 10, 0, 1, 6, 1.000000, 60, 0.003025, 11.067973
0, 65, 1, One Tree, 2, 10, 0, 0, 5, 1.000000, 60, 0.000293, 3.631711
0, 65, 1, One Tree Checkpoint, 2, 10, 2, 1, 6, 0.800000, 60, 0.002797, 11.365116
0, 65, 1, One Tree, 3, 10, 0, 0, 5, 1.000000, 60, 0.000292, 3.787706
0, 65, 1, One Tree Checkpoint, 3, 10, 3, 1, 6, 0.800000, 60, 0.002282, 11.173846
0, 65, 1, One Tree, 4, 10, 0, 0, 5, 1.000000, 60, 0.000294, 3.700852
0, 65, 1, One Tree Checkpoint, 4, 10, 1, 1, 5, 0.800000, 60, 0.002326, 11.269310
2, 23, 1, One Tree, 0, 10, 1, 1, 3, 0.800000, 21, 0.000169, 0.182527
2, 23, 1, One Tree Checkpoint, 0, 10, 0, 1, 2, 0.800000, 21, 0.000416, 0.748330
2, 23, 1, One Tree, 1, 10, 1, 1, 3, 0.800000, 21, 0.000169, 0.183402
2, 23, 1, One Tree Checkpoint, 1, 10, 0, 1, 2, 0.800000, 21, 0.000451, 0.758729
2, 23, 1, One Tree, 2, 10, 0, 1, 3, 0.600000, 21, 0.000186, 0.194851
2, 23, 1, One Tree Checkpoint, 2, 10, 2, 4, 4, 0.800000, 21, 0.000408, 0.754514
2, 23, 1, One Tree, 3, 10, 0, 1, 3, 0.600000, 21, 0.000184, 0.203043
2, 23, 1, One Tree Checkpoint, 3, 10, 2, 4, 4, 0.800000, 21, 0.000398, 0.730486
2, 23, 1, One Tree, 4, 10, 1, 1, 3, 0.800000, 21, 0.000181, 0.183059
2, 23, 1, One Tree Checkpoint, 4, 10, 1, 1, 2, 0.800000, 21, 0.000403, 0.761904
4, 73, 1, One Tree, 0, 10, 9, 1, 17, 0.800000, 72, 0.000421, 8.016407
4, 73, 1, One Tree Checkpoint, 0, 10, 32, 3, 40, 1.000000, 72, 0.004454, 23.716541
4, 73, 1, One Tree, 1, 10, 11, 1, 18, 0.800000, 72, 0.000398, 8.094731
4, 73, 1, One Tree Checkpoint, 1, 10, 32, 3, 39, 1.000000, 72, 0.004724, 23.810261
4, 73, 1, One Tree, 2, 10, 7, 1, 17, 0.800000, 72, 0.000395, 8.056948
4, 73, 1, One Tree Checkpoint, 2, 10, 33, 3, 43, 1.000000, 72, 0.004809, 24.204566
4, 73, 1, One Tree, 3, 10, 7, 1, 16, 0.800000, 72, 0.000394, 8.179040
4, 73, 1, One Tree Checkpoint, 3, 10, 18, 3, 27, 1.000000, 72, 0.005305, 23.609297
4, 73, 1, One Tree, 4, 10, 7, 2, 12, 0.800000, 72, 0.000383, 8.315059
4, 73, 1, One Tree Checkpoint, 4, 10, 15, 3, 23, 1.000000, 72, 0.004652, 23.847825
5, 33, 1, One Tree, 0
